state_po,office,oracle,fte
AL,Senate,0.027581,5e-5
AK,Senate,0.8012980000000001,0.008115999406146384
AZ,Senate,0.524403,0.6546413660341508
AR,Senate,0.050253,2.75e-4
CA,Senate,0.9546810000000001,0.9989
CO,Senate,0.729611,0.89695
CT,Senate,0.866583,0.9862
FL,Senate,0.257179,0.087425
GA,Senate,0.472082,0.461925
HI,Senate,0.9999790000000001,0.99965
ID,Senate,0.010798,1.25e-4
IL,Senate,0.876759,0.9920998024950624
IN,Senate,0.219747,0.0429
IA,Senate,0.239807,0.0366
KS,Senate,0.079745,0.001275
KY,Senate,0.040736999999999995,0.00105
LA,Senate,0.007752,0.003719760222650396
MD,Senate,0.952834,0.999675
MO,Senate,0.211865,0.031275
NV,Senate,0.45171300000000003,0.458575
NH,Senate,0.5753240000000001,0.692275
NY,Senate,0.912352,0.995475
NC,Senate,0.393018,0.254325
ND,Senate,6.88e-4,0
OH,Senate,0.35909100000000005,0.173925
OK,Senate,0.08062799999999999,0.001025
OK,Senate,0.08062799999999999,0.004675
OK2,Senate,0.11245200000000001,NA
OR,Senate,0.873911,0.99485
PA,Senate,0.532112,0.534475
SC,Senate,0.05892,8e-4
SD,Senate,0.022656999999999997,3.5e-4
UT,Senate,0.25538299999999997,0.046975
VT,Senate,0.9779779999999999,0.999775
WA,Senate,0.643698,0.8824
WI,Senate,0.41063499999999997,0.26235
AL,Governor,0.015079,7.5e-5
AK,Governor,0.15127100000000002,0.058098686699454144
AZ,Governor,0.397409,0.362275
AR,Governor,0.103597,0.0032
CA,Governor,0.9738450000000001,0.999025
CO,Governor,0.8177979999999999,0.9871
CT,Governor,0.90415,0.98495
FL,Governor,0.158217,0.018625
GA,Governor,0.22256499999999999,0.07475
HI,Governor,0.999958,0.996975
ID,Governor,0.010523,2e-4
IL,Governor,0.8939530000000001,0.9941748543713593
IA,Governor,0.113425,0.00825
KS,Governor,0.46931399999999995,0.772075
ME,Governor,0.691618,0.8990949547477374
MD,Governor,0.98248,0.9986
MA,Governor,0.962222,0.9997
MI,Governor,0.654071,0.85265
MN,Governor,0.7494970000000001,0.92705
NE,Governor,0.012461999999999999,0.04495
NV,Governor,0.429194,0.445075
NH,Governor,0.134691,0.017175
NM,Governor,0.668583,0.845425
NY,Governor,0.7606010000000001,0.927175
OH,Governor,0.080954,8e-4
OK,Governor,0.31102399999999997,0.13285
OR,Governor,0.5752700000000001,0.6515310717502252
PA,Governor,0.7550149999999999,0.972325
RI,Governor,0.977239,0.972825
SC,Governor,0.064404,0.044675
SD,Governor,0.02165,0.0047
TN,Governor,0.055277,8e-4
TX,Governor,0.245887,0.055775
VT,Governor,0.06444,0.002575
WI,Governor,0.500588,0.5692
WY,Governor,0,0
