state,Past_Results
Alabama,0.39189178144072817
Alaska,0.4393622283755346
Arizona,0.4080520701849273
Arkansas,0.35407095918038095
California,0.6295167673764267
Colorado,0.5527679438111928
Connecticut,0.587536964166348
Delaware,0.6031654279848768
District Of Columbia,0.9464090980603035
Florida,0.48735334389926416
Georgia,0.40169129871489617
Hawaii,0.6878891469922694
Idaho,0.34343443896767395
Illinois,0.5875066572010442
Indiana,0.4166029354735467
Iowa,0.46789017129119975
Kansas,0.43927640880863233
Kentucky,0.3767551699331588
Louisiana,0.23280050018298817
Maine,0.49038395137836166
Maryland,0.6113865406304275
Massachusetts,0.6461776528167792
Michigan,0.5202436119996594
Minnesota,0.5462804324884762
Mississippi,0.39737558109111953
Missouri,0.428194623050795
Montana,0.4466842189081535
Nebraska,0.3703677185924958
Nevada,0.517260108081885
New Hampshire,0.4994400542352568
New Jersey,0.5782379526172629
New Mexico,0.5670079244898564
New York,0.6486521627683923
North Carolina,0.500093778344679
North Dakota,0.2916555947202734
Ohio,0.46754745282542387
Oklahoma,0.3452190848557967
Oregon,0.5761012691666312
Pennsylvania,0.5296754776885343
Rhode Island,0.6393664378453121
South Carolina,0.4399881819744717
South Dakota,0.37731261696331364
Tennessee,0.3900946423705289
Texas,0.46193137929774475
Utah,0.35569918434660813
Vermont,0.5590886125872145
Virginia,0.5587422525414918
Washington,0.5794769478577504
West Virginia,0.3455680804670916
Wisconsin,0.5112298140331395
Wyoming,0.2855131081895336
