state,office_type,weighted_polls,weighted_sd,weighted_var,weighted_undecided,number_of_polls,last_30_polls
Arizona,Senate,0.5301588576171923,0.017474920665792926,3.085254455353555e-4,7.609122465335117,5,3
Colorado,Senate,0.5394676060986604,0.01951930650616734,3.8550892644121905e-4,12.49527771006631,6,3
Florida,Senate,0.49187164828129554,0.01812845600903986,3.591967518613113e-4,8.762947009673384,18,5
Georgia,Senate,0.5028762793380386,0.018651806215200722,3.552857315478243e-4,8.632208866470151,15,2
Illinois,Senate,0.560880829015544,0.01625116050438337,2.6410021773922994e-4,22.80000000000001,1,0
Indiana,Senate,0.4827586206896552,0.011660251196122125,1.3596145795666747e-4,13,1,1
Iowa,Senate,0.45951112572088265,0.019507001895718138,3.9231770177413044e-4,8.84436028222832,9,0
Kentucky,Senate,0.4148936170212766,0.02032740121436669,4.132032401298363e-4,6,1,0
Maryland,Senate,0.43023255813953487,0.023876255795842037,5.700755908284805e-4,14,1,0
Missouri,Senate,0.439560439560448,0.016363545840545224,2.677656324756302e-4,9.000000000000307,2,1
Nevada,Senate,0.5127085362883815,0.019581831687841663,4.03853415330487e-4,13.060278249010532,10,2
New Hampshire,Senate,0.5505608179451924,0.019872723232249413,3.949254397490513e-4,10.999960338337388,5,0
New York,Senate,0.6290087066566817,0.017381965399376094,3.0571313685117155e-4,13.683859398106529,4,2
North Carolina,Senate,0.4947093625349943,0.019328464682159863,3.832571175413391e-4,13.193712570256977,9,3
Ohio,Senate,0.49604748771676205,0.017296013331531152,3.004624972403177e-4,6.890849503291461,6,3
Pennsylvania,Senate,0.5497438755354237,0.01954016708173135,3.9067441166453e-4,12.137173328912752,11,6
South Carolina,Senate,0.3048780487804878,0.02273535037049134,5.168961564690007e-4,18,1,0
South Dakota,Senate,0.2891566265060241,0.02488195454963052,6.191116622098788e-4,17,1,0
Utah,Senate,0.4755005774357574,0.019942996518939236,4.0483420259771385e-4,10.725623496650014,5,1
Vermont,Senate,0.6966292134830913,0.020181732220645867,4.073023154258575e-4,11.000000000002544,2,0
Washington,Senate,0.5292581923714987,0.01856598710587551,3.5985103633087744e-4,6.4866453456483555,10,2
Wisconsin,Senate,0.5153887302310247,0.015666166400039736,2.455354832646058e-4,3.694680557673131,4,2
Arizona,Governor,0.498754043404281,0.017134789753472136,0.00029584386543859503,8.778754500422359,3,3
Arkansas,Governor,0.32558139534883723,0.01757084229516905,3.0873449896170156e-4,14,1,0
Colorado,Governor,0.5328980583375272,0.014674157806943595,2.1698845511337056e-4,9.971397775945325,4,2
Connecticut,Governor,0.5574009378195114,0.013964393318811136,1.9793596262962846e-4,5.220514855671728,3,0
Florida,Governor,0.47155487475486674,0.020720802514760193,4.65840080919798e-4,7.17837308802227,6,5
Georgia,Governor,0.477502461739986,0.017845305226115857,3.2456015770943486e-4,6.791817447333232,13,3
Illinois,Governor,0.5635027227557652,0.01573794963681431,2.4786177232616476e-4,16.897926406618463,3,1
Iowa,Governor,0.40937833254745387,0.02148507575696452,4.6255576087967314e-4,11.974004712050299,4,0
Kansas,Governor,0.4777782909559082,0.023546801038034842,5.544526043830698e-4,10.000047105244217,3,0
Maine,Governor,0.5217304907425252,0.019216115973875653,3.7154461653808937e-4,12.742966643552995,4,0
Michigan,Governor,0.5567692141277366,0.019991654126572223,4.079626205327915e-4,11.846723141372369,8,3
Minnesota,Governor,0.597821285997839,0.02259648946556341,5.1125144949128e-4,13.874533888425466,4,2
Nevada,Governor,0.5034406715121397,0.019770816525585655,4.0964741458472486e-4,13.114702424001385,7,2
New Hampshire,Governor,0.38463399503774065,0.014176626988915919,2.1442693606847318e-4,23.123861796959027,4,1
New Mexico,Governor,0.5364631716294843,0.023353761267356027,5.456101686888989e-4,12.314412825640533,5,1
New York,Governor,0.5949825205442144,0.018121350095627268,3.312379312986023e-4,13.848799346377556,6,3
Ohio,Governor,0.42982553201039425,0.018015497172766494,3.308626988067672e-4,13.13545635007555,4,3
Oklahoma,Governor,0.4415281225078443,0.013171635234437349,1.7804516475739508e-4,24.004242639169846,6,0
Oregon,Governor,0.5022666107770415,0.030300305383032765,9.216713314037352e-4,35.9362593696117,3,1
Pennsylvania,Governor,0.5414563417619895,0.019528696633914468,3.9173978082155016e-4,12.497403111695748,9,5
South Carolina,Governor,0.45993101243699547,0.017860639979296312,3.229560201296719e-4,7.954954212453667,2,2
Texas,Governor,0.46584446081934555,0.015187608759659405,2.3177944057665203e-4,12.848812905627405,17,3
Vermont,Governor,0.21052631578947367,0.018328407573837628,3.3593052419270857e-4,24,1,0
Wisconsin,Governor,0.5049000818293778,0.017619697644307104,3.165211927591781e-4,4.439432498003284,4,3
New Jersey,Governor,0.5405089196354441,0.019601749210258396,3.9472158598502624e-4,6.67518274443053,15,0
Virginia,Governor,0.503078066998368,0.01941534933487532,3.8634853546090593e-4,6.8158059962314095,40,0
North Carolina,Governor,0.4666666666666667,0.02351778943168525,5.530864197530864e-4,10,1,0
